"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STRN",1.07561811908113e-55,0.812919338533687,0.079,0.043,5.91278036240088e-51
"SERBP1",1.11699243809172e-55,0.296319326758941,0.545,0.474,6.14021913143401e-51
"METTL3",1.17488526723577e-55,0.88791330155597,0.066,0.034,6.45846180252173e-51
"ITGB3BP",1.25817541446122e-55,0.769698328411837,0.064,0.033,6.91631607083477e-51
"POP7",1.3319494428029e-55,0.632428559419581,0.127,0.08,7.3218592820318e-51
"TMEM260",1.49129186661145e-55,1.01345194678627,0.054,0.026,8.19778051994983e-51
"DNAJA1",1.51459941198531e-55,-0.659144968358701,0.548,0.592,8.32590442762445e-51
"COPB2",1.55296724475891e-55,0.548836054897694,0.199,0.139,8.53681624116419e-51
"SCRN3",1.58145199061318e-55,1.08338493445977,0.043,0.019,8.6933997375997e-51
"AL117339.5",1.62444129855588e-55,1.47218204457433,0.022,0.007,8.92971626229152e-51
"HCFC1",1.72750018392712e-55,0.778814739718188,0.113,0.069,9.49624126106579e-51
"PSTPIP1",1.89778766562781e-55,0.367037347087786,0.284,0.212,1.04323285767226e-50
"EIF4G1",1.93030705217701e-55,0.516893311472407,0.23,0.167,1.06110908965222e-50
"BLVRA",2.03203337498309e-55,0.728061726069639,0.093,0.054,1.11702906656196e-50
"HECTD4",2.04932915446612e-55,1.00174775595245,0.068,0.036,1.12653672950157e-50
"CTSS",2.11175065169098e-55,0.519150197255649,0.254,0.189,1.16085045074105e-50
"HELZ",2.19142262868373e-55,0.586735014169871,0.203,0.144,1.20464693321373e-50
"PSMD8",2.34472082002201e-55,0.343016616254667,0.423,0.349,1.2889164819743e-50
"GNA15",2.65966018286044e-55,-1.89744345183838,0.02,0.06,1.46204179912021e-50
"RPS10-NUDT3",2.66922016878457e-55,-2.328124463092,0.007,0.041,1.46729701898256e-50
"APIP",2.73951834510039e-55,0.722519214620147,0.098,0.058,1.50594062948514e-50
"SLC25A46",2.81911899360353e-55,0.665290905331512,0.139,0.09,1.54969790197379e-50
"MDM1",2.98275830697585e-55,1.10448045082594,0.05,0.024,1.6396520689277e-50
"ZMYM4",3.00592065131137e-55,1.14295030827582,0.054,0.026,1.65238464123237e-50
"CBR3",3.02616462190161e-55,1.15138103495629,0.037,0.015,1.66351295430553e-50
"ELK4",3.13358939750036e-55,0.822755387665061,0.103,0.062,1.72256542769992e-50
"TRMT13",3.17024708137406e-55,0.975878246699641,0.055,0.027,1.74271652310213e-50
"NMNAT1",3.17218758102844e-55,1.86566470186113,0.018,0.005,1.74378323516714e-50
"SLAIN2",3.355339760939e-55,0.649693504375081,0.154,0.103,1.84446381998578e-50
"TANK",3.40018355287787e-55,0.384591340398514,0.312,0.238,1.8691149008525e-50
"CYTH1",3.47551837354115e-55,-0.521072961101107,0.232,0.307,1.9105272051193e-50
"POLD2",3.59082299312132e-55,0.692694654868204,0.093,0.053,1.97391130754872e-50
"CAAP1",3.98211845658895e-55,0.649609952695348,0.109,0.066,2.18901033677151e-50
"GNB2L1",4.12395012636657e-55,-0.639104578257189,0.185,0.255,2.26697662396497e-50
"AVL9",5.04608677205616e-55,0.77086869911094,0.092,0.053,2.77388435946699e-50
"TGFBR2",5.09940820144667e-55,0.424133465438427,0.318,0.246,2.80319568241725e-50
"COASY",5.37439343871631e-55,0.780042791862104,0.087,0.049,2.95435781719674e-50
"VPS13B",5.90581204256027e-55,0.833442765695325,0.106,0.064,3.2464839379158e-50
"DCK",6.58932522236727e-55,0.447488736179154,0.189,0.13,3.62221796798751e-50
