"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARF6",3.40793076727952e-09,0.346394923618152,0.397,0.321,5.55322318528197e-05,"Naive_like_2_SC","ARF6"
"ABHD5",3.63593428183519e-09,0.320503362633448,0.121,0.069,5.92475491225044e-05,"Naive_like_2_SC","ABHD5"
"CNOT9",3.73904313890644e-09,0.265988957710596,0.155,0.094,6.09277079484805e-05,"Naive_like_2_SC","CNOT9"
"TMEM41B",3.76311854605558e-09,0.282599860972371,0.149,0.09,6.13200167079757e-05,"Naive_like_2_SC","TMEM41B"
"MRPS18C",3.80285828069426e-09,0.287543001816487,0.305,0.227,6.1967575683913e-05,"Naive_like_2_SC","MRPS18C"
"PBRM1",4.08185875441997e-09,0.316783656920476,0.212,0.144,6.65138884032734e-05,"Naive_like_2_SC","PBRM1"
"CRBN",4.15503561042118e-09,0.294987871924253,0.257,0.183,6.77063052718132e-05,"Naive_like_2_SC","CRBN"
"RPA3",4.3459729259594e-09,0.389841604388824,0.367,0.296,7.08176288285084e-05,"Naive_like_2_SC","RPA3"
"THOC1",4.40273369608502e-09,0.258750945631774,0.123,0.07,7.17425455777053e-05,"Naive_like_2_SC","THOC1"
"SSB",4.44013032051209e-09,0.395038441184566,0.361,0.291,7.23519235727445e-05,"Naive_like_2_SC","SSB"
"KPNA2",4.59505960584753e-09,0.423537344772173,0.222,0.155,7.48764962772856e-05,"Naive_like_2_SC","KPNA2"
"FRG1",4.68820625309407e-09,0.28517317951015,0.28,0.204,7.6394320894168e-05,"Naive_like_2_SC","FRG1"
"TIPRL",4.79654674620475e-09,0.309622624512729,0.269,0.196,7.81597292294064e-05,"Naive_like_2_SC","TIPRL"
"ZNF146",4.91578910025432e-09,0.275807746874338,0.218,0.149,8.01027833886442e-05,"Naive_like_2_SC","ZNF146"
"B4GALT1",5.01379732220866e-09,0.285578287411195,0.19,0.124,8.16998273653901e-05,"Naive_like_2_SC","B4GALT1"
"ZBTB11",5.04782442628931e-09,0.323097259519602,0.164,0.103,8.22542990263842e-05,"Naive_like_2_SC","ZBTB11"
"CAST",5.14697710609428e-09,0.376484636500358,0.538,0.492,8.38699919438063e-05,"Naive_like_2_SC","CAST"
"DOHH",5.3864007225938e-09,0.251380532421747,0.122,0.07,8.7771399774666e-05,"Naive_like_2_SC","DOHH"
"PPP4R3B",5.64886704473407e-09,0.341065890643428,0.291,0.221,9.20482884939417e-05,"Naive_like_2_SC","PPP4R3B"
"NDFIP1",5.77448157983806e-09,0.379910029633943,0.534,0.477,9.40951773434613e-05,"Naive_like_2_SC","NDFIP1"
"SC5D",5.83965615833452e-09,0.311685897401756,0.134,0.079,9.51571971000609e-05,"Naive_like_2_SC","SC5D"
"C3orf38",6.21482412585905e-09,0.25174566588015,0.15,0.091,0.000101270559130873,"Naive_like_2_SC","C3orf38"
"MUC20-OT1",6.62146498009239e-09,0.280181354140029,0.259,0.185,0.000107896771850605,"Naive_like_2_SC","MUC20-OT1"
"ELP2",6.81156268944958e-09,0.304604416849202,0.202,0.137,0.000110994414024581,"Naive_like_2_SC","ELP2"
"PUM1",6.82353918103458e-09,0.376049413821692,0.272,0.2,0.000111189570954959,"Naive_like_2_SC","PUM1"
"MAP1S",7.17308059350366e-09,0.278528411150262,0.194,0.129,0.000116885348271142,"Naive_like_2_SC","MAP1S"
"METAP2",7.29663770607094e-09,0.324894618849368,0.317,0.242,0.000118898711420426,"Naive_like_2_SC","METAP2"
"HIST1H2AC",7.90162681550808e-09,0.302573099566737,0.125,0.073,0.000128757008958704,"Naive_like_2_SC","HIST1H2AC"
"DNAJB11",8.16976570109773e-09,0.317835411917143,0.238,0.168,0.000133126332099387,"Naive_like_2_SC","DNAJB11"
"GOLPH3",8.70932193804450e-09,0.309599733774895,0.326,0.254,0.000141918400980435,"Naive_like_2_SC","GOLPH3"
"NAPA",8.77901220267738e-09,0.323632454407555,0.451,0.385,0.000143054003842628,"Naive_like_2_SC","NAPA"
"ARHGAP9",9.39075376662011e-09,0.36236173872513,0.447,0.383,0.000153022332627075,"Naive_like_2_SC","ARHGAP9"
"ATF2",9.79499809889794e-09,0.27616286064515,0.186,0.123,0.000159609494021542,"Naive_like_2_SC","ATF2"
"FNBP4",1.02250444715576e-08,0.301487008536879,0.55,0.489,0.000166617099664031,"Naive_like_2_SC","FNBP4"
"C21orf91",1.1044641110986e-08,0.34129733809003,0.185,0.122,0.000179972426903517,"Naive_like_2_SC","C21orf91"
"ZNRD1",1.13435922917186e-08,0.361163620109262,0.372,0.302,0.000184843836393555,"Naive_like_2_SC","ZNRD1"
"USP1",1.20183398409752e-08,0.321387660939996,0.283,0.212,0.000195838847708691,"Naive_like_2_SC","USP1"
"TBC1D15",1.28965938824934e-08,0.288199378616114,0.174,0.112,0.000210149997315229,"Naive_like_2_SC","TBC1D15"
"B4GALT3",1.36654277622548e-08,0.308073109329965,0.284,0.214,0.000222678145385941,"Naive_like_2_SC","B4GALT3"
"RNF11",1.37127952518499e-08,0.323815709703814,0.285,0.212,0.000223449998628893,"Naive_like_2_SC","RNF11"
"TRMT6",1.39228975234578e-08,0.304277563610219,0.191,0.127,0.000226873615144744,"Naive_like_2_SC","TRMT6"
"MAPRE1",1.4450180144678e-08,0.312749758326744,0.356,0.284,0.000235465685457528,"Naive_like_2_SC","MAPRE1"
"PATL1",1.46699946496104e-08,0.255157515404448,0.183,0.12,0.000239047562815401,"Naive_like_2_SC","PATL1"
"RNF19A",1.49046844568024e-08,0.447151696062916,0.451,0.387,0.000242871833223595,"Naive_like_2_SC","RNF19A"
"ZNF800",1.57469523992039e-08,0.31160381545424,0.3,0.224,0.000256596589345028,"Naive_like_2_SC","ZNF800"
"CLPX",1.64571359852905e-08,0.284976945100409,0.163,0.104,0.000268169030880309,"Naive_like_2_SC","CLPX"
"C16orf91",1.70179532981576e-08,0.25070806314562,0.134,0.079,0.000277307548993479,"Naive_like_2_SC","C16orf91"
"SELENOT",1.70621265724609e-08,0.298944704225956,0.488,0.43,0.00027802735249825,"Naive_like_2_SC","SELENOT"
"SYNJ2",1.70804626762399e-08,0.253454098957105,0.124,0.072,0.00027832613930933,"Naive_like_2_SC","SYNJ2"
"MRPL44",1.72820542648212e-08,0.287468844373726,0.182,0.12,0.000281611074245261,"Naive_like_2_SC","MRPL44"
"BBC3",1.79604130396725e-08,0.283290844494035,0.144,0.088,0.000292664930481463,"Naive_like_2_SC","BBC3"
"CGGBP1",1.86299022191426e-08,0.26258448527574,0.284,0.208,0.000303574256660929,"Naive_like_2_SC","CGGBP1"
"IQGAP1",1.9343438958234e-08,0.304667389574887,0.541,0.48,0.000315201337824424,"Naive_like_2_SC","IQGAP1"
"NRBF2",1.98480417703518e-08,0.302369053693651,0.19,0.128,0.000323423840647883,"Naive_like_2_SC","NRBF2"
"PSMC2",1.98730541869482e-08,0.293387426326363,0.278,0.206,0.00032383141797632,"Naive_like_2_SC","PSMC2"
"PPP4C",1.99943262923144e-08,0.287427384729267,0.546,0.496,0.000325807546933263,"Naive_like_2_SC","PPP4C"
"BHLHE40",2.02042896511117e-08,0.52514276577081,0.206,0.146,0.000329228899864865,"Naive_like_2_SC","BHLHE40"
"WAPL",2.08227405845467e-08,0.361769176814645,0.288,0.221,0.000339306557825188,"Naive_like_2_SC","WAPL"
"TMEM222",2.08950094175453e-08,0.263581415508107,0.191,0.126,0.0003404841784589,"Naive_like_2_SC","TMEM222"
"ZNF263",2.17416074000081e-08,0.254922130374647,0.135,0.082,0.000354279492583132,"Naive_like_2_SC","ZNF263"
"YIPF5",2.32436325471516e-08,0.386963917323328,0.403,0.339,0.000378754992355835,"Naive_like_2_SC","YIPF5"
"MARCH6",2.43725780749377e-08,0.267775419183103,0.216,0.149,0.00039715115973111,"Naive_like_2_SC","MARCH6"
"FAM96B",2.46533293230838e-08,0.314567951954641,0.594,0.572,0.000401726001319651,"Naive_like_2_SC","FAM96B"
"CPD",2.6812211093414e-08,0.304300834575483,0.157,0.1,0.00043690497976718,"Naive_like_2_SC","CPD"
"SARS",2.70387471065502e-08,0.309231699694629,0.43,0.37,0.000440596384101236,"Naive_like_2_SC","SARS"
"OTUD6B-AS1",2.98846114176269e-08,0.325812856877581,0.211,0.147,0.00048696974305023,"Naive_like_2_SC","OTUD6B-AS1"
"PSMB7",3.06868692428859e-08,0.285873637149019,0.384,0.31,0.000500042534312825,"Naive_like_2_SC","PSMB7"
"SMPD4",3.11523608630092e-08,0.289452906738871,0.183,0.121,0.000507627720262734,"Naive_like_2_SC","SMPD4"
"NUP50",3.1247376693551e-08,0.308041522175583,0.208,0.144,0.000509176003221414,"Naive_like_2_SC","NUP50"
"MRPL1",3.14871159464878e-08,0.297420707847036,0.123,0.072,0.000513082554348019,"Naive_like_2_SC","MRPL1"
"DDX52",3.16306148948462e-08,0.252785547657102,0.157,0.099,0.000515420869711518,"Naive_like_2_SC","DDX52"
"PHAX",3.30307508149166e-08,0.310323242322453,0.272,0.202,0.000538236084529067,"Naive_like_2_SC","PHAX"
"ATP6V1B2",3.40595642479123e-08,0.254452719438298,0.176,0.115,0.000555000599419732,"Naive_like_2_SC","ATP6V1B2"
"TMED9",3.41034209529843e-08,0.272710405048349,0.498,0.438,0.00055571524442888,"Naive_like_2_SC","TMED9"
"COPA",3.46827482846745e-08,0.334703127561014,0.298,0.227,0.000565155383298771,"Naive_like_2_SC","COPA"
"SFSWAP",3.56315423529613e-08,0.287391261467758,0.232,0.164,0.000580615982641505,"Naive_like_2_SC","SFSWAP"
"QRICH1",3.66245714659843e-08,0.304844979137721,0.281,0.211,0.000596797392038214,"Naive_like_2_SC","QRICH1"
"VCP",3.76890832353683e-08,0.306666392867133,0.598,0.566,0.000614143611320326,"Naive_like_2_SC","VCP"
"POLB",3.80884126540375e-08,0.329940015183329,0.128,0.077,0.00062065068419754,"Naive_like_2_SC","POLB"
"ID3",4.02286300787485e-08,1.25796496122169,0.2,0.142,0.000655525527133206,"Naive_like_2_SC","ID3"
"GOLGA4",4.12316833412229e-08,0.355032773830248,0.327,0.256,0.000671870280045228,"Naive_like_2_SC","GOLGA4"
"HMGA1",4.21002333724855e-08,0.39825960546287,0.427,0.368,0.000686023302804651,"Naive_like_2_SC","HMGA1"
"PPP3CC",4.26999864067094e-08,0.303841749724228,0.385,0.313,0.00069579627849733,"Naive_like_2_SC","PPP3CC"
"TBCC",4.34370138477953e-08,0.348329947587926,0.299,0.23,0.000707806140649824,"Naive_like_2_SC","TBCC"
"SDF4",4.35702710885878e-08,0.308257510888188,0.438,0.378,0.000709977567388537,"Naive_like_2_SC","SDF4"
"DDX3Y",4.51104421168431e-08,0.390850434749996,0.104,0.059,0.000735074654293959,"Naive_like_2_SC","DDX3Y"
"BLZF1",4.79975890573507e-08,0.251265460383699,0.122,0.072,0.00078212071368953,"Naive_like_2_SC","BLZF1"
"TRAF6",4.80182248415162e-08,0.272083276229901,0.12,0.071,0.000782456973792506,"Naive_like_2_SC","TRAF6"
"TRAF1",5.00279868516191e-08,0.414641132126537,0.352,0.29,0.000815206045747134,"Naive_like_2_SC","TRAF1"
"TARSL2",5.16413091171853e-08,0.273976126574347,0.207,0.143,0.000841495132064534,"Naive_like_2_SC","TARSL2"
"MED31",5.22113622256498e-08,0.298927098016193,0.218,0.153,0.000850784147466963,"Naive_like_2_SC","MED31"
"TMED10",5.34865572253121e-08,0.364950808655727,0.414,0.361,0.00087156344998646,"Naive_like_2_SC","TMED10"
"MARCKSL1",5.55867375584099e-08,0.378799598522199,0.242,0.178,0.00090578588851429,"Naive_like_2_SC","MARCKSL1"
"CDV3",5.77526288509425e-08,0.318686708526846,0.261,0.193,0.000941079087126108,"Naive_like_2_SC","CDV3"
"SRA1",5.85014469032456e-08,0.301528953119303,0.281,0.211,0.000953281077288387,"Naive_like_2_SC","SRA1"
"KPNA1",5.86628873399654e-08,0.302974271778928,0.271,0.2,0.000955911749204736,"Naive_like_2_SC","KPNA1"
"AHI1",5.9776669673072e-08,0.277961516113114,0.176,0.116,0.000974060832322708,"Naive_like_2_SC","AHI1"
"MFAP1",6.19146168315628e-08,0.274824775354114,0.177,0.118,0.00100889868127032,"Naive_like_2_SC","MFAP1"
"TOR1AIP1",6.25853476989042e-08,0.303355350696983,0.256,0.187,0.00101982824075364,"Naive_like_2_SC","TOR1AIP1"
"MIA2",6.3830096028256e-08,0.264720331832187,0.177,0.117,0.00104011141478043,"Naive_like_2_SC","MIA2"
"BAZ1A1",6.62713505399324e-08,0.390331155890449,0.452,0.398,0.0010798916570482,"Naive_like_2_SC","BAZ1A"
"ARID1A",6.66235307381165e-08,0.312494267111026,0.26,0.196,0.00108563043337761,"Naive_like_2_SC","ARID1A"
"GRB2",7.03905029091621e-08,0.305217445908989,0.439,0.376,0.0011470132449048,"Naive_like_2_SC","GRB2"
"DXO",7.10363989673851e-08,0.253890770680182,0.11,0.063,0.00115753812117354,"Naive_like_2_SC","DXO"
"TOPORS",7.12140957074782e-08,0.299961931259605,0.184,0.125,0.00116043368955336,"Naive_like_2_SC","TOPORS"
"SLAMF1",7.48599563965251e-08,0.474391893946632,0.218,0.159,0.00121984298948138,"Naive_like_2_SC","SLAMF1"
"YIPF3",7.64486955710584e-08,0.287914754660517,0.375,0.304,0.0012457314943304,"Naive_like_2_SC","YIPF3"
"WDR74",8.19337330716749e-08,0.322880943756778,0.228,0.165,0.00133511018040294,"Naive_like_2_SC","WDR74"
"STAU1",8.30752665573932e-08,0.333829834595282,0.282,0.218,0.00135371146855272,"Naive_like_2_SC","STAU1"
"DOK2",8.49274803260142e-08,0.490166341743104,0.17,0.113,0.0013838932919124,"Naive_like_2_SC","DOK2"
"CACUL1",8.49510999111358e-08,0.284536971324495,0.183,0.125,0.00138427817305196,"Naive_like_2_SC","CACUL1"
"UBA2",8.56746835761417e-08,0.265739942804923,0.375,0.304,0.00139606896887323,"Naive_like_2_SC","UBA2"
"CRK",8.7436206762026e-08,0.262833995664526,0.123,0.074,0.00142477298918721,"Naive_like_2_SC","CRK"
"MKNK2",8.89582933574576e-08,0.308581759015642,0.134,0.083,0.00144957539025977,"Naive_like_2_SC","MKNK2"
"CLK3",8.9259325977127e-08,0.274385128540123,0.245,0.18,0.00145448071679728,"Naive_like_2_SC","CLK3"
"NSFL1C",9.36059552177452e-08,0.315971194790907,0.328,0.259,0.00152530904027316,"Naive_like_2_SC","NSFL1C"
"PANK2",1.01897825024275e-07,0.269230002606881,0.228,0.162,0.00166042505877056,"Naive_like_2_SC","PANK2"
"NDRG1",1.07162941687173e-07,0.274512039146304,0.195,0.134,0.00174622013479248,"Naive_like_2_SC","NDRG1"
"ARRDC2",1.07457899449931e-07,0.315561757295812,0.183,0.124,0.00175102647153663,"Naive_like_2_SC","ARRDC2"
"HNRNPM",1.08400013620206e-07,0.278745031571194,0.488,0.436,0.00176637822194126,"Naive_like_2_SC","HNRNPM"
"NFATC1",1.09487150446317e-07,0.287143815677488,0.132,0.082,0.00178409311652274,"Naive_like_2_SC","NFATC1"
