gene_symbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DE
LCP1,6.76E-22,0.390815993,0.606,0.482,1.10E-17,up
RPL3,2.70E-67,0.390436532,0.992,0.966,4.39E-63,up
PPP1R15A,5.75E-34,-0.798655461,0.395,0.566,9.37E-30,down
TRIM25,5.01E-40,0.390414743,0.179,0.067,8.17E-36,up
GIMAP6,3.68E-25,0.390367315,0.263,0.146,5.99E-21,up
CCR7,1.86E-29,0.389520859,0.471,0.296,3.04E-25,up
APOBEC3G,1.04E-26,0.389357391,0.789,0.665,1.70E-22,up
RCAN2,2.52E-46,0.387257972,0.106,0.025,4.11E-42,up
ZNFX1,1.58E-20,0.385283125,0.473,0.351,2.57E-16,up
HLA-F,3.41E-28,0.383383835,0.737,0.617,5.55E-24,up
MTRNR2L8,9.35E-32,-1.503178328,0.227,0.39,1.52E-27,down
TC2N,1.83E-26,0.382043497,0.358,0.213,2.99E-22,up
IFNG,1.59E-31,-1.957036872,0.106,0.264,2.59E-27,down
ITM2B,6.61E-38,0.37804018,0.922,0.823,1.08E-33,up
SP140,6.40E-23,0.377052952,0.326,0.205,1.04E-18,up
SLC7A5,3.02E-31,-0.665154491,0.304,0.47,4.92E-27,down
TYMP,3.06E-19,0.376885521,0.527,0.398,4.98E-15,up
UTRN,8.44E-20,0.375337935,0.259,0.154,1.38E-15,up
ANKRD28,5.58E-31,-0.614781022,0.049,0.19,9.09E-27,down
MVP,3.52E-23,0.37194976,0.486,0.347,5.74E-19,up
CADM1,2.67E-33,0.36928889,0.138,0.048,4.35E-29,up
LRRN3,1.08E-30,-0.720549073,0.01,0.129,1.77E-26,down
STK17B,1.16E-30,-0.606558136,0.399,0.563,1.90E-26,down
HDDC2,1.44E-17,0.366436981,0.327,0.223,2.35E-13,up
RPS3,1.93E-82,0.363571992,0.999,0.994,3.15E-78,up
FCRL3,1.70E-42,0.36343398,0.14,0.043,2.77E-38,up
SNX9,6.34E-30,-0.673610079,0.243,0.408,1.03E-25,down
IL9R,1.69E-22,0.363141708,0.159,0.074,2.75E-18,up
SH3BGRL,7.78E-21,0.36164812,0.392,0.271,1.27E-16,up
RPL23A,3.16E-73,0.361133115,1,0.984,5.14E-69,up
IQGAP2,1.08E-18,0.358333598,0.332,0.219,1.75E-14,up
TOMM7,4.89E-34,0.357275154,0.876,0.762,7.97E-30,up
SYTL2,2.36E-29,-0.598778252,0.078,0.223,3.84E-25,down
TPI1,2.42E-29,-0.420211656,0.739,0.805,3.94E-25,down
SOCS1,1.61E-15,0.356443836,0.274,0.181,2.62E-11,up
ERAP2,3.35E-25,0.352297965,0.243,0.13,5.46E-21,up
CASP4,1.43E-12,0.349017804,0.336,0.251,2.32E-08,up
AHI1,4.19E-29,-0.691961894,0.098,0.246,6.83E-25,down
CD82,2.20E-28,-0.8901184,0.345,0.492,3.58E-24,down
AIM2,1.38E-23,0.348944721,0.176,0.084,2.25E-19,up
GPR25,2.83E-28,-0.557546892,0.007,0.116,4.61E-24,down
OGFR,1.16E-21,0.348364439,0.494,0.367,1.88E-17,up
RPS8,1.21E-64,0.348360818,0.999,0.984,1.97E-60,up
TNFRSF1B,4.98E-28,-0.603116583,0.288,0.445,8.11E-24,down
PTPN22,5.51E-28,-0.561563295,0.245,0.411,8.99E-24,down
XIST,1.50E-27,-0.432702385,0.013,0.124,2.45E-23,down
RPS25,5.40E-72,0.346546523,0.999,0.991,8.79E-68,up
DYNLT1,3.48E-19,0.342899756,0.419,0.299,5.67E-15,up
B2M,1.80E-134,0.342686096,1,1,2.94E-130,up
SYNE1,2.21E-21,0.337112261,0.3,0.181,3.60E-17,up
PHACTR2,7.39E-24,0.33680994,0.199,0.1,1.20E-19,up
RPL27A,2.40E-35,0.335294911,0.941,0.887,3.91E-31,up
SAMSN1,1.34E-26,-0.532790967,0.391,0.536,2.18E-22,down
PAG1,1.53E-26,-0.607263755,0.147,0.295,2.50E-22,down
RPL26,6.06E-48,0.33474414,0.983,0.942,9.87E-44,up
APOL1,2.17E-37,0.333753745,0.132,0.042,3.54E-33,up
TNFRSF18,3.11E-26,-0.711069239,0.071,0.203,5.07E-22,down
TSC22D3,4.91E-26,-0.949902627,0.456,0.583,8.01E-22,down
ACP5,5.14E-26,-1.038501053,0.083,0.21,8.38E-22,down
CD63,5.48E-26,-0.539672774,0.399,0.545,8.93E-22,down
RPL7A,2.67E-66,0.332264047,1,0.991,4.36E-62,up
LAYN,1.70E-25,-0.457029268,0.004,0.1,2.78E-21,down
GEM,1.83E-25,-0.694156152,0.008,0.108,2.98E-21,down
APOL2,2.28E-22,0.331955536,0.19,0.096,3.72E-18,up
RPS15A,7.84E-73,0.331027463,1,0.995,1.28E-68,up
MOV10,4.34E-31,0.328736502,0.141,0.053,7.08E-27,up
GPR155,2.83E-25,0.327884443,0.162,0.072,4.61E-21,up
TRADD,5.72E-15,0.327104497,0.321,0.226,9.32E-11,up
MBP,1.16E-18,0.326701214,0.66,0.523,1.89E-14,up
TPRG1,9.93E-21,0.324171321,0.195,0.101,1.62E-16,up
