"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"341","CTSC",1.4939334212347e-24,-0.526889706223908,0.451,0.675,2.43436450990194e-20
"342","VIM",1.66312594387014e-24,0.776446034747512,0.952,0.904,2.71006372553639e-20
"343","PTPN11",1.70895208753519e-24,-0.577558170457014,0.196,0.413,2.78473742663859e-20
"344","SLC25A6",1.74687444520258e-24,0.508946495301289,0.86,0.726,2.84653190845761e-20
"345","SYT11",1.83490150002394e-24,-0.48023211506332,0.08,0.257,2.98997199428901e-20
"346","PDCD4",2.23709818960092e-24,0.643486463978189,0.376,0.156,3.6453514999547e-20
"347","RPS26",2.45566116330925e-24,0.401784703494607,0.991,0.99,4.00149986561242e-20
"348","PELI1",2.6852984972633e-24,-0.564867486677716,0.234,0.46,4.37569390129054e-20
"349","DDB2",2.82951965447546e-24,-0.537739677295918,0.168,0.38,4.61070227696776e-20
"350","ETV1",3.32753707654729e-24,-0.499430393498522,0.033,0.175,5.42222166623382e-20
"351","RASAL3",3.48613766225229e-24,-0.622669867499101,0.243,0.46,5.6806613206401e-20
"352","SEC11A",4.08655491931085e-24,-0.610856877799173,0.474,0.668,6.65904124101703e-20
"353","ARHGEF6",4.41695237916993e-24,-0.503013267732831,0.05,0.204,7.19742390185741e-20
"354","DDX3Y",6.29390471674669e-24,0.58934965264589,0.15,0.008,1.02559177359387e-19
"355","POLD2",6.70667049012099e-24,0.575258534254643,0.37,0.152,1.09285195636522e-19
"356","LRRC28",1.13305163718021e-23,-0.764172399248764,0.025,0.154,1.84630764278515e-19
"357","ITGAE",1.28427669936274e-23,-0.616621193560456,0.255,0.463,2.09272888161159e-19
"358","GZMH",1.63315048576107e-23,-0.476211396921576,0.332,0.583,2.66121871654766e-19
"359","POLR1C",1.83395421090233e-23,0.656943787239165,0.416,0.204,2.98842838666535e-19
"360","MAST4",2.27577465009257e-23,-0.628685676534127,0.131,0.318,3.70837479232584e-19
"361","HLA-E",2.94726112484693e-23,0.529847533908662,0.98,0.981,4.80256200293807e-19
"362","NCOR1",3.26018019664417e-23,-0.591465122564342,0.473,0.651,5.31246363043167e-19
"363","FOSL1",3.8805551262148e-23,0.417403577790987,0.179,0.025,6.32336457816701e-19
"364","KLF6",4.16009882630588e-23,0.864640009235476,0.869,0.779,6.77888103746543e-19
"365","SLA2",4.55694296747293e-23,-0.496828336138249,0.203,0.42,7.42553856549713e-19
"366","IFITM2",5.20153220904373e-23,-0.671804321488329,0.539,0.726,8.47589673463676e-19
"367","KLF3",6.67521301082706e-23,0.44900005353693,0.138,0.006,1.08772596011427e-18
"368","BHLHE40",7.2081692700976e-23,-0.693743255572456,0.352,0.559,1.1745711825624e-18
"369","NFIL3",7.38334333458365e-23,-0.472989206022905,0.044,0.188,1.20311579637041e-18
"370","CSF1",8.54487497326454e-23,-0.685410017448433,0.063,0.218,1.39238737689346e-18
"371","SYTL3",8.8893060213133e-23,-0.543221262294193,0.366,0.588,1.448512416173e-18
"372","RPSA",1.05894287517578e-22,0.334042178146368,0.989,0.985,1.72554741509893e-18
"373","CD96",1.5656575885437e-22,-0.55396013183339,0.623,0.768,2.55123904053196e-18
"374","PPP1CA",1.60766101234227e-22,-0.519536432443584,0.593,0.758,2.61968361961173e-18
"375","PPP4R2",1.79109246699685e-22,-0.56511686986806,0.429,0.615,2.91858517497136e-18
"376","CCL3L1",2.0894446946278e-22,-0.251513476303141,0.333,0.59,3.404750129896e-18
"377","PNP",2.317344724425e-22,0.563318181855454,0.325,0.125,3.77611322845055e-18
"378","IFRD2",2.5738502123541e-22,0.578249256473396,0.476,0.255,4.19408892103101e-18
"379","RPS19",3.21448744520349e-22,0.273914672460305,1,1,5.23800729195909e-18
"380","CALM3",4.04082499162617e-22,-0.580311769022773,0.375,0.57,6.58452432385484e-18
"381","FASLG",4.67608617794457e-22,-0.46465787937307,0.44,0.675,7.61968242696068e-18
"382","ADGRG5",5.13650754761714e-22,-0.366718985298919,0.009,0.111,8.36993904884213e-18
